"City","State","FIPS Code","Formatted FIPS","Affordable market share, as of 2018."
"Grantfork","IL","1730978","=""1730978""","N/A"
"Grant Park","IL","1730991","=""1730991""","3.95"
"Granville","IL","1731017","=""1731017""","14.52"
"Grayslake","IL","1731121","=""1731121""","10.46"
"Grayville","IL","1731165","=""1731165""","26.02"
"Greenfield","IL","1731368","=""1731368""","26.52"
"Green Oaks","IL","1731446","=""1731446""","0.00"
"Greenup","IL","1731524","=""1731524""","27.31"
"Green Valley","IL","1731563","=""1731563""","N/A"
"Greenview","IL","1731576","=""1731576""","N/A"
"Greenville","IL","1731589","=""1731589""","20.31"
"Greenwood","IL","1731667","=""1731667""","N/A"
"Gridley","IL","1731732","=""1731732""","15.63"
"Griggsville","IL","1731771","=""1731771""","N/A"
"Gulf Port","IL","1731992","=""1731992""","N/A"
"Gurnee","IL","1732018","=""1732018""","42.23"
"Hainesville","IL","1732200","=""1732200""","0.00"
"Hamburg","IL","1732395","=""1732395""","N/A"
"Hamel","IL","1732408","=""1732408""","N/A"
"Hamilton","IL","1732434","=""1732434""","15.59"
"Hammond","IL","1732499","=""1732499""","N/A"
"Hampshire","IL","1732525","=""1732525""","0.00"
"Hampton","IL","1732564","=""1732564""","0.00"
"Hanaford","IL","1732616","=""1732616""","N/A"
"Hanna City","IL","1732668","=""1732668""","22.42"
"Hanover","IL","1732707","=""1732707""","N/A"
"Hanover Park","IL","1732746","=""1732746""","9.13"
"Hardin","IL","1732850","=""1732850""","N/A"
"Harmon","IL","1732967","=""1732967""","N/A"
"Harrisburg","IL","1733136","=""1733136""","26.72"
"Harrison","IL","1733162","=""1733162""","N/A"
"Harristown","IL","1733227","=""1733227""","0.00"
"Hartford","IL","1733279","=""1733279""","0.00"
"Hartsburg","IL","1733318","=""1733318""","N/A"
"Harvard","IL","1733331","=""1733331""","11.35"
"Harvel","IL","1733357","=""1733357""","N/A"
"Harvey","IL","1733383","=""1733383""","21.02"
"Harwood Heights","IL","1733435","=""1733435""","0.00"
"Havana","IL","1733513","=""1733513""","36.54"
"Hawthorn Woods","IL","1733630","=""1733630""","0.00"
"Hazel Crest","IL","1733695","=""1733695""","0.00"
"Hebron","IL","1733851","=""1733851""","22.10"
"Hecker","IL","1733877","=""1733877""","N/A"
"Henderson","IL","1734007","=""1734007""","N/A"
"Hennepin","IL","1734098","=""1734098""","N/A"
"Henning","IL","1734137","=""1734137""","N/A"
"Henry","IL","1734163","=""1734163""","21.97"
"Heritage Lake","IL","1734272","=""1734272""","0.00"
"Herrick","IL","1734332","=""1734332""","N/A"
"Herrin","IL","1734358","=""1734358""","26.96"
"Herscher","IL","1734384","=""1734384""","0.00"
"Hettick","IL","1734423","=""1734423""","N/A"
"Heyworth","IL","1734449","=""1734449""","16.33"
"Hickory Hills","IL","1734514","=""1734514""","15.36"
"Hidalgo","IL","1734553","=""1734553""","N/A"
"Highland","IL","1734670","=""1734670""","20.71"
"Highland Park","IL","1734722","=""1734722""","22.66"
"Highwood","IL","1734865","=""1734865""","0.00"
"Hillcrest","IL","1734982","=""1734982""","0.00"
"Hillsboro","IL","1735047","=""1735047""","63.44"
"Hillsdale","IL","1735073","=""1735073""","N/A"
"Hillside","IL","1735086","=""1735086""","0.00"
"Hillview","IL","1735203","=""1735203""","N/A"
"Hinckley","IL","1735268","=""1735268""","0.00"
"Hindsboro","IL","1735281","=""1735281""","N/A"
"Hinsdale","IL","1735307","=""1735307""","0.00"
"Hodgkins","IL","1735385","=""1735385""","0.00"
"Hoffman","IL","1735398","=""1735398""","N/A"
"Hoffman Estates","IL","1735411","=""1735411""","N/A"
"Holiday Hills","IL","1735515","=""1735515""","N/A"
"Holiday Shores","IL","1735541","=""1735541""","0.00"
"Hollowayville","IL","1735671","=""1735671""","N/A"
"Homer","IL","1735814","=""1735814""","N/A"
"Homer Glen","IL","1735835","=""1735835""","0.00"
"Hometown","IL","1735866","=""1735866""","0.00"
"Homewood","IL","1735879","=""1735879""","12.77"
"Hoopeston","IL","1736061","=""1736061""","28.14"
"Hooppole","IL","1736074","=""1736074""","N/A"
"Hopedale","IL","1736126","=""1736126""","0.00"
"Hopewell","IL","1736150","=""1736150""","N/A"
"Hopkins Park","IL","1736190","=""1736190""","N/A"
"Hoyleton","IL","1736347","=""1736347""","N/A"
"Hudson","IL","1736438","=""1736438""","0.00"
"Huey","IL","1736477","=""1736477""","N/A"
"Hull","IL","1736516","=""1736516""","N/A"
"Humboldt","IL","1736542","=""1736542""","N/A"
"Hume","IL","1736568","=""1736568""","N/A"
"Huntley","IL","1736750","=""1736750""","26.42"
"Hurst","IL","1736815","=""1736815""","N/A"
"Hutsonville","IL","1736841","=""1736841""","N/A"
"Illiopolis","IL","1737127","=""1737127""","N/A"
"Ina","IL","1737179","=""1737179""","0.00"
"Indian Creek","IL","1737218","=""1737218""","N/A"
"Indian Head Park","IL","1737257","=""1737257""","0.00"
"Indianola","IL","1737348","=""1737348""","N/A"
"Industry","IL","1737439","=""1737439""","N/A"
"Ingalls Park","IL","1737465","=""1737465""","0.00"
"Inverness","IL","1737608","=""1737608""","0.00"
"Iola","IL","1737621","=""1737621""","N/A"
"Ipava","IL","1737647","=""1737647""","N/A"
"Iroquois","IL","1737712","=""1737712""","N/A"
"Irving","IL","1737738","=""1737738""","N/A"
"Irvington","IL","1737777","=""1737777""","N/A"
"Irwin","IL","1737803","=""1737803""","N/A"
"Island Lake","IL","1737894","=""1737894""","34.22"
"Itasca","IL","1737907","=""1737907""","0.00"
"Iuka","IL","1737933","=""1737933""","N/A"
"Ivesdale","IL","1737998","=""1737998""","N/A"
"Jacksonville","IL","1738115","=""1738115""","37.54"
"Jeffersonville","IL","1738323","=""1738323""","N/A"
"Jeisyville","IL","1738349","=""1738349""","N/A"
"Jerome","IL","1738375","=""1738375""","0.00"
"Jerseyville","IL","1738414","=""1738414""","52.09"
"Jewett","IL","1738427","=""1738427""","N/A"
"Johnsburg","IL","1738479","=""1738479""","0.00"
"Johnsonville","IL","1738531","=""1738531""","N/A"
"Johnston City","IL","1738544","=""1738544""","0.00"
"Joliet","IL","1738570","=""1738570""","N/A"
"Jonesboro","IL","1738635","=""1738635""","0.00"
"Joppa","IL","1738674","=""1738674""","N/A"
"Joy","IL","1738739","=""1738739""","N/A"
"Junction","IL","1738778","=""1738778""","N/A"
"Junction City","IL","1738791","=""1738791""","N/A"
"Justice","IL","1738830","=""1738830""","10.44"
"Kampsville","IL","1738856","=""1738856""","N/A"
"Kane","IL","1738869","=""1738869""","N/A"
"Kaneville","IL","1738895","=""1738895""","N/A"
"Kangley","IL","1738921","=""1738921""","N/A"
"Kankakee","IL","1738934","=""1738934""","45.59"
"Kansas","IL","1738986","=""1738986""","N/A"
"Kappa","IL","1739038","=""1739038""","N/A"
"Karnak","IL","1739077","=""1739077""","N/A"
"Kaskaskia","IL","1739129","=""1739129""","N/A"
"Keenes","IL","1739233","=""1739233""","N/A"
"Keensburg","IL","1739259","=""1739259""","N/A"
"Keithsburg","IL","1739298","=""1739298""","N/A"
"Kell","IL","1739324","=""1739324""","N/A"
"Kempton","IL","1739441","=""1739441""","N/A"
"Kenilworth","IL","1739519","=""1739519""","0.00"
"Kenney","IL","1739532","=""1739532""","N/A"
"Kewanee","IL","1739727","=""1739727""","29.40"
"Keyesport","IL","1739753","=""1739753""","N/A"
"Kilbourne","IL","1739857","=""1739857""","N/A"
"Kildeer","IL","1739883","=""1739883""","0.00"
"Kincaid","IL","1739909","=""1739909""","0.00"
"Kinderhook","IL","1739922","=""1739922""","N/A"
"Kingston","IL","1740065","=""1740065""","0.00"
"Kingston Mines","IL","1740091","=""1740091""","N/A"
"Kinmundy","IL","1740117","=""1740117""","50.00"
"Kinsman","IL","1740143","=""1740143""","N/A"
"Kirkland","IL","1740156","=""1740156""","0.00"
"Kirkwood","IL","1740182","=""1740182""","N/A"
"Knollwood","IL","1740364","=""1740364""","N/A"
"Knoxville","IL","1740416","=""1740416""","4.67"
"Lacon","IL","1740559","=""1740559""","9.63"
"Ladd","IL","1740598","=""1740598""","0.00"
"La Fayette","IL","1740676","=""1740676""","N/A"
"La Grange","IL","1740767","=""1740767""","N/A"
"La Grange Park","IL","1740793","=""1740793""","0.00"
"La Harpe","IL","1740832","=""1740832""","46.81"
"Lake Barrington","IL","1740884","=""1740884""","0.00"
"Lake Bluff","IL","1740910","=""1740910""","0.00"
"Lake Camelot","IL","1740962","=""1740962""","0.00"
"Lake Catherine","IL","1740988","=""1740988""","0.00"
"Lake Forest","IL","1741105","=""1741105""","0.49"
"Lake Holiday","IL","1741157","=""1741157""","0.00"
"Lake in the Hills","IL","1741183","=""1741183""","8.98"
"Lake Ka-Ho","IL","1741214","=""1741214""","N/A"
"Lakemoor","IL","1741326","=""1741326""","0.00"
"Lake of the Woods","IL","1741346","=""1741346""","14.71"
"Lake Petersburg","IL","1741404","=""1741404""","N/A"
"Lake Summerset","IL","1741456","=""1741456""","0.00"
"Lake Villa","IL","1741586","=""1741586""","45.62"
"Lakewood","IL","1741651","=""1741651""","N/A"
"Lakewood Shores","IL","1741716","=""1741716""","0.00"
"Lake Zurich","IL","1741742","=""1741742""","31.54"
"La Moille","IL","1741794","=""1741794""","N/A"
"Lanark","IL","1741859","=""1741859""","28.22"
"Langleyville","IL","1742002","=""1742002""","N/A"
"Lansing","IL","1742028","=""1742028""","18.12"
"LaPlace","IL","1742067","=""1742067""","N/A"
"La Prairie","IL","1742080","=""1742080""","N/A"
"La Rose","IL","1742171","=""1742171""","N/A"
"LaSalle","IL","1742184","=""1742184""","25.69"
"Latham","IL","1742249","=""1742249""","N/A"
"Lawrenceville","IL","1742405","=""1742405""","40.06"
"Leaf River","IL","1742457","=""1742457""","N/A"
"Lebanon","IL","1742496","=""1742496""","54.17"
"Lee","IL","1742587","=""1742587""","N/A"
"Leland","IL","1742756","=""1742756""","N/A"
"Leland Grove","IL","1742769","=""1742769""","0.00"
"Lemont","IL","1742795","=""1742795""","34.23"
"Lena","IL","1742834","=""1742834""","10.09"
"Lenzburg","IL","1742860","=""1742860""","N/A"
"Leonore","IL","1742912","=""1742912""","N/A"
"Lerna","IL","1742938","=""1742938""","N/A"
"Le Roy","IL","1742971","=""1742971""","11.94"
"Lewistown","IL","1743055","=""1743055""","83.38"
"Lexington","IL","1743094","=""1743094""","12.73"
"Liberty","IL","1743133","=""1743133""","N/A"
"Libertyville","IL","1743250","=""1743250""","28.65"
"Lily Lake","IL","1743406","=""1743406""","0.00"
"Lima","IL","1743445","=""1743445""","N/A"
"Limestone","IL","1743510","=""1743510""","0.00"
"Lincoln","IL","1743536","=""1743536""","26.50"
"Lincolnshire","IL","1743666","=""1743666""","0.00"
"Lincolnwood","IL","1743744","=""1743744""","0.00"
"Lindenhurst","IL","1743770","=""1743770""","0.00"
"Lisbon","IL","1743900","=""1743900""","N/A"
"Lisle","IL","1743939","=""1743939""","0.00"
"Litchfield","IL","1743965","=""1743965""","46.47"
"Littleton","IL","1744056","=""1744056""","N/A"
"Little York","IL","1744082","=""1744082""","N/A"
"Liverpool","IL","1744121","=""1744121""","N/A"
"Livingston","IL","1744160","=""1744160""","N/A"
"Loami","IL","1744173","=""1744173""","N/A"
"Lockport","IL","1744225","=""1744225""","6.28"
