Census Tract,State,FIPS Code,Formatted FIPS,"Mean travel time to work in minutes, according the US Census Bur",,
17031301803,IL,17031301803,17031301803,30.7,,
17031310200,IL,17031310200,17031310200,30,,
17031310300,IL,17031310300,17031310300,29.5,,
17031310400,IL,17031310400,17031310400,28.3,,
17031310500,IL,17031310500,17031310500,30.9,,
17031310600,IL,17031310600,17031310600,29.1,,
17031310700,IL,17031310700,17031310700,26.4,,
17031310800,IL,17031310800,17031310800,34.4,,
17031310900,IL,17031310900,17031310900,32.4,,
17031320100,IL,17031320100,17031320100,26.4,,
17031320400,IL,17031320400,17031320400,20.6,,
17031320600,IL,17031320600,17031320600,32.5,,
17031330100,IL,17031330100,17031330100,29.2,,
17031330200,IL,17031330200,17031330200,27.8,,
17031340300,IL,17031340300,17031340300,25.7,,
17031340400,IL,17031340400,17031340400,28.3,,
17031340500,IL,17031340500,17031340500,24.7,,
17031340600,IL,17031340600,17031340600,41.8,,
17031350100,IL,17031350100,17031350100,32.3,,
17031350400,IL,17031350400,17031350400,52.8,,
17031351000,IL,17031351000,17031351000,34,,
17031351100,IL,17031351100,17031351100,41.1,,
17031351400,IL,17031351400,17031351400,37.4,,
17031351500,IL,17031351500,17031351500,35.2,,
17031360200,IL,17031360200,17031360200,38.2,,
17031380100,IL,17031380100,17031380100,27.2,,
17031380200,IL,17031380200,17031380200,36.4,,
17031380500,IL,17031380500,17031380500,31,,
17031380700,IL,17031380700,17031380700,29.9,,
17031381200,IL,17031381200,17031381200,37.7,,
17031381400,IL,17031381400,17031381400,31.8,,
17031381500,IL,17031381500,17031381500,40.4,,
17031381700,IL,17031381700,17031381700,N/A,,
17031381800,IL,17031381800,17031381800,36.3,,
17031381900,IL,17031381900,17031381900,31.6,,
17031390100,IL,17031390100,17031390100,36.9,,
17031390200,IL,17031390200,17031390200,32.4,,
17031390300,IL,17031390300,17031390300,35.7,,
17031390400,IL,17031390400,17031390400,43.1,,
17031390500,IL,17031390500,17031390500,31.5,,
17031390600,IL,17031390600,17031390600,27.5,,
17031390700,IL,17031390700,17031390700,28.2,,
17031400300,IL,17031400300,17031400300,31,,
17031400400,IL,17031400400,17031400400,38.3,,
17031400500,IL,17031400500,17031400500,47.4,,
17031400800,IL,17031400800,17031400800,38.1,,
17031410100,IL,17031410100,17031410100,30,,
17031410200,IL,17031410200,17031410200,30.1,,
17031410500,IL,17031410500,17031410500,27.8,,
17031410600,IL,17031410600,17031410600,23.5,,
17031410700,IL,17031410700,17031410700,24.6,,
17031410800,IL,17031410800,17031410800,27,,
17031410900,IL,17031410900,17031410900,25,,
17031411000,IL,17031411000,17031411000,29.1,,
17031411100,IL,17031411100,17031411100,19.7,,
17031411200,IL,17031411200,17031411200,24.5,,
17031420100,IL,17031420100,17031420100,33.6,,
17031420200,IL,17031420200,17031420200,28.6,,
17031420300,IL,17031420300,17031420300,26.8,,
17031420400,IL,17031420400,17031420400,22.3,,
