"City","State","FIPS Code","Formatted FIPS","Mean travel time to work in minutes, according the US Census Bur"
"Bartelso","IL","1704000","=""1704000""","N/A"
"Bartlett","IL","1704013","=""1704013""","34.40"
"Bartonville","IL","1704039","=""1704039""","20.40"
"Basco","IL","1704052","=""1704052""","N/A"
"Batavia","IL","1704078","=""1704078""","29.90"
"Batchtown","IL","1704117","=""1704117""","N/A"
"Bath","IL","1704156","=""1704156""","N/A"
"Baylis","IL","1704247","=""1704247""","N/A"
"Bay View Gardens","IL","1704273","=""1704273""","N/A"
"Beach Park","IL","1704303","=""1704303""","26.80"
"Beardstown","IL","1704351","=""1704351""","18.00"
"Beason","IL","1704403","=""1704403""","N/A"
"Beaverville","IL","1704507","=""1704507""","N/A"
"Beckemeyer","IL","1704533","=""1704533""","N/A"
"Bedford Park","IL","1704572","=""1704572""","N/A"
"Beecher","IL","1704585","=""1704585""","32.40"
"Beecher City","IL","1704598","=""1704598""","N/A"
"Belgium","IL","1704689","=""1704689""","N/A"
"Belknap","IL","1704715","=""1704715""","N/A"
"Belle Prairie City","IL","1704793","=""1704793""","N/A"
"Belle Rive","IL","1704806","=""1704806""","N/A"
"Belleville","IL","1704845","=""1704845""","24.30"
"Bellevue","IL","1704871","=""1704871""","21.00"
"Bellflower","IL","1704897","=""1704897""","N/A"
"Bellmont","IL","1704936","=""1704936""","N/A"
"Bellwood","IL","1704975","=""1704975""","28.70"
"Belvidere","IL","1705092","=""1705092""","27.40"
"Bement","IL","1705144","=""1705144""","25.50"
"Benld","IL","1705209","=""1705209""","28.30"
"Bensenville","IL","1705248","=""1705248""","26.10"
"Benson","IL","1705261","=""1705261""","N/A"
"Bentley","IL","1705274","=""1705274""","N/A"
"Benton","IL","1705300","=""1705300""","21.20"
"Berkeley","IL","1705404","=""1705404""","24.70"
"Berlin","IL","1705443","=""1705443""","N/A"
"Berwyn","IL","1705573","=""1705573""","N/A"
"Bethalto","IL","1705599","=""1705599""","22.90"
"Bethany","IL","1705612","=""1705612""","27.10"
"Biggsville","IL","1705898","=""1705898""","N/A"
"Big Rock","IL","1705976","=""1705976""","27.60"
"Bingham","IL","1706028","=""1706028""","N/A"
"Bishop Hill","IL","1706171","=""1706171""","N/A"
"Bismarck","IL","1706184","=""1706184""","N/A"
"Blandinsville","IL","1706470","=""1706470""","N/A"
"Bloomingdale","IL","1706587","=""1706587""","28.60"
"Bloomington","IL","1706613","=""1706613""","N/A"
"Blue Island","IL","1706704","=""1706704""","32.00"
"Blue Mound","IL","1706756","=""1706756""","26.00"
"Bluffs","IL","1706899","=""1706899""","N/A"
"Bluford","IL","1706964","=""1706964""","N/A"
"Bolingbrook","IL","1707133","=""1707133""","N/A"
"Bondville","IL","1707211","=""1707211""","N/A"
"Bone Gap","IL","1707224","=""1707224""","N/A"
"Bonfield","IL","1707237","=""1707237""","N/A"
"Bonnie","IL","1707263","=""1707263""","N/A"
"Boody","IL","1707315","=""1707315""","N/A"
"Boulder Hill","IL","1707419","=""1707419""","29.40"
"Bourbonnais","IL","1707471","=""1707471""","22.50"
"Bowen","IL","1707510","=""1707510""","N/A"
"Braceville","IL","1707640","=""1707640""","N/A"
"Bradford","IL","1707692","=""1707692""","N/A"
"Bradley","IL","1707744","=""1707744""","20.70"
"Braidwood","IL","1707770","=""1707770""","31.90"
"Breese","IL","1707913","=""1707913""","26.20"
"Bridgeport","IL","1708186","=""1708186""","17.90"
"Bridgeview","IL","1708225","=""1708225""","29.30"
"Brighton","IL","1708264","=""1708264""","29.30"
"Brimfield","IL","1708303","=""1708303""","N/A"
"Broadlands","IL","1708420","=""1708420""","N/A"
"Broadview","IL","1708446","=""1708446""","29.90"
"Broadwell","IL","1708472","=""1708472""","N/A"
"Brocton","IL","1708524","=""1708524""","N/A"
"Brookfield","IL","1708576","=""1708576""","30.50"
"Brooklyn","IL","1708667","=""1708667""","N/A"
"Brookport","IL","1708706","=""1708706""","N/A"
"Broughton","IL","1708875","=""1708875""","N/A"
"Browning","IL","1708953","=""1708953""","N/A"
"Browns","IL","1708979","=""1708979""","N/A"
"Brownstown","IL","1708992","=""1708992""","N/A"
"Brussels","IL","1709148","=""1709148""","N/A"
"Bryant","IL","1709161","=""1709161""","N/A"
"Buckingham","IL","1709304","=""1709304""","N/A"
"Buckley","IL","1709317","=""1709317""","N/A"
"Buckner","IL","1709330","=""1709330""","N/A"
"Buda","IL","1709356","=""1709356""","N/A"
"Buffalo","IL","1709434","=""1709434""","N/A"
"Buffalo Grove","IL","1709447","=""1709447""","29.50"
"Bull Valley","IL","1709531","=""1709531""","43.50"
"Bulpitt","IL","1709538","=""1709538""","N/A"
"Buncombe","IL","1709551","=""1709551""","N/A"
"Bunker Hill","IL","1709577","=""1709577""","28.80"
"Burbank","IL","1709642","=""1709642""","32.50"
"Bureau Junction","IL","1709681","=""1709681""","N/A"
"Burlington","IL","1709759","=""1709759""","N/A"
"Burnham","IL","1709798","=""1709798""","36.20"
"Burnt Prairie","IL","1709889","=""1709889""","N/A"
"Burr Ridge","IL","1709980","=""1709980""","30.70"
"Bush","IL","1710084","=""1710084""","N/A"
"Bushnell","IL","1710110","=""1710110""","17.40"
"Butler","IL","1710149","=""1710149""","N/A"
"Byron","IL","1710240","=""1710240""","27.90"
"Cabery","IL","1710292","=""1710292""","N/A"
"Cahokia","IL","1710370","=""1710370""","22.20"
"Cairo","IL","1710383","=""1710383""","26.20"
"Caledonia","IL","1710422","=""1710422""","N/A"
"Calhoun","IL","1710448","=""1710448""","N/A"
"Calumet City","IL","1710487","=""1710487""","33.70"
"Calumet Park","IL","1710513","=""1710513""","32.00"
"Camargo","IL","1710591","=""1710591""","N/A"
"Cambria","IL","1710630","=""1710630""","20.40"
"Cambridge","IL","1710643","=""1710643""","27.00"
"Camden","IL","1710695","=""1710695""","N/A"
"Campbell Hill","IL","1710773","=""1710773""","N/A"
"Camp Point","IL","1710877","=""1710877""","26.90"
"Campton Hills","IL","1710906","=""1710906""","34.80"
"Campus","IL","1710916","=""1710916""","N/A"
"Canton","IL","1711007","=""1711007""","19.90"
"Cantrall","IL","1711033","=""1711033""","N/A"
"Capron","IL","1711124","=""1711124""","26.50"
"Carbon Cliff","IL","1711150","=""1711150""","17.80"
"Carbondale","IL","1711163","=""1711163""","13.70"
